V1,V2,V3,V4,V5,V6,V7,V8,V9,state,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
1202.0,0.06,0.45,0.09,1287.5,0,6.57,0,False,0,1,2,,,0.3,0.7,,
1065.0,-0.05,0.32,-0.19,1647.2,0,-3.22,1,False,1,3,4,,,0.78,0.22,,
938.0,-0.08,0.09,-0.12,1893.7,0,-4.86,2,False,3,5,6,,,0.21,0.79,,
806.0,-0.1,0.07,-0.1,1783.4,0,-4.25,3,False,5,,,,,,,,
957.0,-0.07,-0.12,-0.13,2090.0,0,-4.44,3,False,6,7,8,,,0.83,0.17,,
857.0,-0.03,-0.18,0.17,2034.1,0,-0.9,4,False,7,9,10,,,0.33,0.67,,
776.0,0.01,-0.12,0.13,1954.9,0,0.6,5,False,9,11,12,,,0.85,0.15,,
702.0,0.05,-0.03,0.07,1899.6,0,1.12,6,False,11,13,14,,,0.38,0.62,,
604.0,0.05,-0.02,0.06,1789.0,0,0.98,7,False,13,,,,,,,,
738.0,0.02,-0.11,0.23,1958.4,0,0.58,7,False,14,15,16,,,0.94,0.06,,
669.0,0.05,-0.03,0.07,1906.0,0,0.99,8,False,15,17,18,,,0.4,0.6,,
575.0,0.06,-0.02,0.06,1795.0,0,0.87,9,False,17,,,,,,,,
704.0,0.01,-0.13,0.26,1966.5,0,0.39,9,False,18,19,20,,,0.76,0.24,,
639.0,0.05,-0.03,0.07,1915.3,0,0.84,10,False,19,21,22,,,0.62,0.38,,
549.0,0.06,-0.03,0.06,1803.8,0,0.73,11,False,21,,,,,,,,
639.0,0.05,-0.03,0.07,1915.3,0,0.84,11,True,22,,,,,,,,
743.0,0.02,-0.16,0.25,1987.9,0,0.93,10,False,20,23,24,,,0.18,0.82,,
638.0,0.03,-0.12,0.21,1872.2,0,0.82,11,True,23,,,,,,,,
743.0,0.02,-0.16,0.25,1987.9,0,0.93,11,True,24,,,,,,,,
777.0,0.03,-0.15,0.23,1981.0,0,1.07,8,False,16,25,26,,,0.14,0.86,,
705.0,0.06,-0.04,0.1,1908.0,0,1.48,9,False,25,27,28,,,0.54,0.46,,
606.0,0.07,-0.03,0.09,1796.9,0,1.29,10,False,27,,,,,,,,
742.0,0.03,-0.11,0.23,1956.3,0,0.88,10,False,28,29,30,,,0.24,0.76,,
637.0,0.03,-0.09,0.2,1842.4,0,0.77,11,True,29,,,,,,,,
742.0,0.03,-0.11,0.23,1956.3,0,0.88,11,True,30,,,,,,,,
819.0,0.05,-0.14,0.22,1969.1,0,1.99,9,False,26,31,32,,,0.49,0.51,,
741.0,0.07,-0.02,0.1,1885.2,0,2.11,10,False,31,33,34,,,0.64,0.36,,
637.0,0.08,-0.01,0.08,1775.4,0,1.84,11,False,33,,,,,,,,
741.0,0.07,-0.02,0.1,1885.2,0,2.11,11,True,34,,,,,,,,
862.0,0.05,-0.12,0.19,1947.1,0,2.51,10,False,32,35,36,,,0.16,0.84,,
741.0,0.06,-0.1,0.16,1833.7,0,2.19,11,False,35,,,,,,,,
862.0,0.05,-0.12,0.19,1947.1,0,2.51,11,True,36,,,,,,,,
817.0,0.03,-0.14,0.19,1972.3,0,1.2,6,False,12,37,38,,,0.34,0.66,,
740.0,0.06,-0.03,0.09,1896.8,0,1.65,7,False,37,39,40,,,0.63,0.37,,
636.0,0.06,-0.03,0.08,1786.3,0,1.44,8,False,39,,,,,,,,
777.0,0.03,-0.1,0.2,1948.4,0,0.94,8,False,40,41,42,,,0.93,0.07,,
668.0,0.03,-0.08,0.17,1834.9,0,0.82,9,False,41,,,,,,,,
817.0,0.03,-0.13,0.2,1967.7,0,1.34,9,False,42,43,44,,,0.39,0.61,,
740.0,0.05,-0.03,0.09,1897.9,0,1.49,10,False,43,45,46,,,0.36,0.64,,
636.0,0.06,-0.03,0.08,1787.4,0,1.3,11,False,45,,,,,,,,
740.0,0.05,-0.03,0.09,1897.9,0,1.49,11,True,46,,,,,,,,
859.0,0.04,-0.13,0.18,1962.1,0,1.9,10,False,44,47,48,,,0.52,0.48,,
738.0,0.04,-0.1,0.15,1847.8,0,1.66,11,True,47,,,,,,,,
859.0,0.04,-0.13,0.18,1962.1,0,1.9,11,True,48,,,,,,,,
860.0,0.04,-0.13,0.18,1960.4,0,2.05,7,False,38,49,50,,,0.74,0.26,,
777.0,0.06,-0.02,0.09,1878.5,0,2.09,8,False,49,51,52,,,0.05,0.95,,
668.0,0.07,-0.02,0.08,1769.1,0,1.83,9,False,51,,,,,,,,
815.0,0.02,-0.08,0.16,1935.4,0,0.97,9,False,52,53,54,,,0.45,0.55,,
700.0,0.03,-0.06,0.13,1822.7,0,0.85,10,False,53,,,,,,,,
855.0,0.02,-0.12,0.16,1968.1,0,1.0,10,False,54,55,56,,,0.52,0.48,,
735.0,0.02,-0.1,0.13,1853.5,0,0.87,11,True,55,,,,,,,,
855.0,0.02,-0.12,0.16,1968.1,0,1.0,11,True,56,,,,,,,,
904.0,0.04,-0.12,0.15,1944.0,0,2.31,8,False,50,57,58,,,0.61,0.39,,
777.0,0.05,-0.1,0.13,1830.8,0,2.02,9,False,57,,,,,,,,
949.0,0.04,-0.11,0.12,1929.9,0,2.31,9,False,58,59,60,,,0.58,0.42,,
815.0,0.04,-0.09,0.1,1817.5,0,2.02,10,False,59,,,,,,,,
995.0,0.03,-0.11,0.09,1918.4,0,2.28,10,False,60,61,62,,,0.82,0.18,,
855.0,0.04,-0.08,0.08,1806.7,0,1.99,11,False,61,,,,,,,,
995.0,0.03,-0.11,0.09,1918.4,0,2.28,11,True,62,,,,,,,,
900.0,0.02,-0.19,0.18,2014.4,0,1.32,5,False,10,63,64,,,0.46,0.54,,
815.0,0.05,-0.07,0.12,1905.3,0,2.15,6,False,63,65,66,,,0.24,0.76,,
701.0,0.06,-0.05,0.1,1794.4,0,1.88,7,False,65,,,,,,,,
856.0,0.03,-0.09,0.14,1932.9,0,1.57,7,False,66,67,68,,,0.4,0.6,,
736.0,0.04,-0.07,0.12,1820.3,0,1.37,8,False,67,,,,,,,,
898.0,0.03,-0.11,0.13,1950.6,0,1.47,8,False,68,69,70,,,0.27,0.73,,
772.0,0.03,-0.09,0.11,1837.0,0,1.29,9,False,69,,,,,,,,
942.0,0.03,-0.12,0.11,1947.8,0,1.84,9,False,70,71,72,,,0.91,0.09,,
810.0,0.03,-0.09,0.1,1834.4,0,1.61,10,False,71,,,,,,,,
988.0,0.03,-0.12,0.1,1933.3,0,2.13,10,False,72,73,74,,,0.43,0.57,,
849.0,0.03,-0.09,0.08,1820.7,0,1.86,11,False,73,,,,,,,,
988.0,0.03,-0.12,0.1,1933.3,0,2.13,11,True,74,,,,,,,,
947.0,0.05,-0.16,0.16,1956.7,0,2.85,6,False,64,75,76,,,0.68,0.32,,
854.0,0.06,-0.02,0.09,1855.8,0,2.72,7,False,75,77,78,,,0.77,0.23,,
733.0,0.07,-0.02,0.07,1747.7,0,2.38,8,False,77,,,,,,,,
895.0,0.02,-0.06,0.09,1911.6,0,1.21,8,False,78,79,80,,,0.45,0.55,,
769.0,0.03,-0.05,0.07,1800.2,0,1.06,9,False,79,,,,,,,,
937.0,0.01,-0.1,0.08,1952.7,0,0.86,9,False,80,81,82,,,0.26,0.74,,
846.0,0.02,-0.05,0.08,1895.8,0,1.05,10,False,81,83,84,,,0.17,0.83,,
727.0,0.03,-0.04,0.07,1785.4,0,0.91,11,False,83,,,,,,,,
846.0,0.02,-0.05,0.08,1895.8,0,1.05,11,True,84,,,,,,,,
982.0,0.01,-0.13,0.08,1962.8,0,1.22,10,False,82,85,86,,,0.92,0.08,,
843.0,0.02,-0.1,0.07,1848.5,0,1.06,11,True,85,,,,,,,,
982.0,0.01,-0.13,0.08,1962.8,0,1.22,11,True,86,,,,,,,,
994.0,0.05,-0.12,0.13,1901.9,0,3.44,7,False,76,87,88,,,0.2,0.8,,
854.0,0.06,-0.09,0.11,1791.2,0,3.01,8,False,87,,,,,,,,
1042.0,0.04,-0.09,0.09,1876.9,0,3.01,8,False,88,89,90,,,0.12,0.88,,
895.0,0.04,-0.07,0.08,1767.6,0,2.63,9,False,89,,,,,,,,
1091.0,0.02,-0.08,0.06,1878.6,0,2.28,9,False,90,91,92,,,0.26,0.74,,
937.0,0.02,-0.06,0.05,1769.2,0,1.99,10,False,91,,,,,,,,
1141.0,0.01,-0.09,0.04,1896.7,0,1.52,10,False,92,93,94,,,0.65,0.35,,
980.0,0.01,-0.07,0.03,1786.3,0,1.33,11,False,93,,,,,,,,
1141.0,0.01,-0.09,0.04,1896.7,0,1.52,11,True,94,,,,,,,,
993.0,-0.02,-0.23,0.04,2105.6,0,-1.02,4,False,8,95,96,,,0.42,0.58,,
898.0,0.03,-0.15,0.16,1967.2,0,1.69,5,False,95,97,98,,,0.42,0.58,,
811.0,0.05,-0.03,0.09,1879.5,0,2.07,6,False,97,99,100,,,0.05,0.95,,
697.0,0.06,-0.03,0.07,1770.1,0,1.81,7,False,99,,,,,,,,
850.0,0.02,-0.08,0.13,1933.6,0,1.0,7,False,100,101,102,,,0.54,0.46,,
731.0,0.02,-0.06,0.11,1821.0,0,0.88,8,False,101,,,,,,,,
891.0,0.02,-0.12,0.13,1962.9,0,1.08,8,False,102,103,104,,,0.74,0.26,,
806.0,0.03,-0.05,0.09,1896.9,0,1.3,9,False,103,105,106,,,0.85,0.15,,
693.0,0.04,-0.04,0.08,1786.5,0,1.14,10,False,105,,,,,,,,
846.0,0.02,-0.1,0.14,1947.9,0,0.83,10,False,106,107,108,,,0.3,0.7,,
727.0,0.02,-0.08,0.12,1834.5,0,0.73,11,False,107,,,,,,,,
846.0,0.02,-0.1,0.14,1947.9,0,0.83,11,True,108,,,,,,,,
935.0,0.03,-0.13,0.12,1958.4,0,1.73,9,False,104,109,110,,,0.37,0.63,,
845.0,0.04,-0.04,0.09,1879.2,0,1.85,10,False,109,111,112,,,0.42,0.58,,
726.0,0.05,-0.03,0.07,1769.8,0,1.62,11,False,111,,,,,,,,
845.0,0.04,-0.04,0.09,1879.2,0,1.85,11,True,112,,,,,,,,
981.0,0.03,-0.13,0.11,1936.5,0,2.27,10,False,110,113,114,,,0.42,0.58,,
843.0,0.04,-0.1,0.09,1823.7,0,1.98,11,False,113,,,,,,,,
981.0,0.03,-0.13,0.11,1936.5,0,2.27,11,True,114,,,,,,,,
944.0,0.04,-0.13,0.14,1937.3,0,2.53,6,False,98,115,116,,,0.33,0.67,,
811.0,0.05,-0.1,0.12,1824.5,0,2.21,7,False,115,,,,,,,,
991.0,0.04,-0.11,0.11,1912.3,0,2.65,7,False,116,117,118,,,0.69,0.31,,
851.0,0.04,-0.08,0.09,1801.0,0,2.31,8,False,117,,,,,,,,
1039.0,0.03,-0.1,0.08,1898.8,0,2.45,8,False,118,119,120,,,0.26,0.74,,
892.0,0.03,-0.07,0.07,1788.2,0,2.14,9,False,119,,,,,,,,
1088.0,0.02,-0.09,0.06,1895.8,0,2.11,9,False,120,121,122,,,0.25,0.75,,
935.0,0.02,-0.07,0.05,1785.4,0,1.84,10,False,121,,,,,,,,
1138.0,0.01,-0.1,0.04,1902.8,0,1.64,10,False,122,123,124,,,0.76,0.24,,
978.0,0.01,-0.07,0.04,1792.0,0,1.44,11,False,123,,,,,,,,
1138.0,0.01,-0.1,0.04,1902.8,0,1.64,11,True,124,,,,,,,,
1043.0,0.03,-0.22,0.13,2009.2,0,2.46,5,False,96,125,126,,,0.39,0.61,,
941.0,0.06,-0.07,0.12,1865.2,0,3.29,6,False,125,127,128,,,0.43,0.57,,
808.0,0.06,-0.05,0.1,1756.5,0,2.88,7,False,127,,,,,,,,
986.0,0.03,-0.06,0.08,1881.2,0,2.27,7,False,128,129,130,,,0.56,0.44,,
847.0,0.04,-0.05,0.06,1771.7,0,1.98,8,False,129,,,,,,,,
1032.0,0.01,-0.08,0.04,1915.2,0,1.25,8,False,130,131,132,,,0.81,0.19,,
887.0,0.01,-0.06,0.04,1803.6,0,1.09,9,False,131,,,,,,,,
1079.0,0.0,-0.11,0.03,1937.4,0,0.99,9,False,132,133,134,,,0.14,0.86,,
927.0,0.01,-0.08,0.03,1824.6,0,0.87,10,False,133,,,,,,,,
1129.0,0.01,-0.12,0.05,1935.5,0,1.32,10,False,134,135,136,,,0.51,0.49,,
970.0,0.01,-0.09,0.04,1822.8,0,1.16,11,False,135,,,,,,,,
1129.0,0.01,-0.12,0.05,1935.5,0,1.32,11,True,136,,,,,,,,
1095.0,0.05,-0.15,0.14,1896.2,0,4.3,6,False,126,137,138,,,0.96,0.04,,
941.0,0.05,-0.12,0.12,1785.8,0,3.76,7,False,137,,,,,,,,
1146.0,0.04,-0.09,0.1,1834.7,0,4.05,7,False,138,139,140,,,0.68,0.32,,
985.0,0.04,-0.07,0.09,1727.8,0,3.54,8,False,139,,,,,,,,
1146.0,0.04,-0.09,0.1,1834.7,0,4.05,8,False,140,,,,,,,,
1077.0,-0.11,0.04,-0.32,2056.3,0,-5.0,2,False,4,141,142,,,0.61,0.39,,
942.0,-0.07,-0.15,-0.06,2108.0,0,-4.04,3,False,141,143,144,,,0.7,0.3,,
845.0,-0.02,-0.19,0.19,2038.2,0,-0.65,4,False,143,145,146,,,0.08,0.92,,
766.0,0.03,-0.11,0.13,1949.9,0,0.92,5,False,145,147,148,,,0.55,0.45,,
658.0,0.03,-0.09,0.11,1836.3,0,0.81,6,False,147,,,,,,,,
807.0,0.03,-0.13,0.2,1964.6,0,1.44,6,False,148,149,150,,,0.85,0.15,,
730.0,0.06,-0.02,0.09,1892.0,0,1.71,7,False,149,151,152,,,0.52,0.48,,
627.0,0.07,-0.02,0.08,1781.8,0,1.49,8,False,151,,,,,,,,
767.0,0.02,-0.1,0.21,1950.1,0,0.78,8,False,152,153,154,,,0.62,0.38,,
659.0,0.02,-0.08,0.18,1836.5,0,0.68,9,False,153,,,,,,,,
807.0,0.02,-0.14,0.21,1975.3,0,1.09,9,False,154,155,156,,,0.69,0.31,,
731.0,0.06,-0.03,0.09,1900.3,0,1.6,10,False,155,157,158,,,0.62,0.38,,
628.0,0.06,-0.03,0.08,1789.6,0,1.4,11,False,157,,,,,,,,
731.0,0.06,-0.03,0.09,1900.3,0,1.6,11,True,158,,,,,,,,
849.0,0.04,-0.14,0.19,1969.8,0,1.77,10,False,156,159,160,,,0.09,0.91,,
730.0,0.04,-0.11,0.16,1855.1,0,1.55,11,True,159,,,,,,,,
849.0,0.04,-0.14,0.19,1969.8,0,1.77,11,True,160,,,,,,,,
849.0,0.04,-0.13,0.19,1961.1,0,1.87,7,False,150,161,162,,,0.5,0.5,,
768.0,0.06,-0.03,0.09,1885.0,0,1.83,8,False,161,163,164,,,0.85,0.15,,
660.0,0.06,-0.02,0.08,1775.2,0,1.6,9,False,163,,,,,,,,
806.0,0.03,-0.09,0.17,1936.4,0,1.07,9,False,164,165,166,,,0.16,0.84,,
693.0,0.03,-0.07,0.14,1823.6,0,0.94,10,False,165,,,,,,,,
847.0,0.03,-0.12,0.17,1959.4,0,1.33,10,False,166,167,168,,,0.95,0.05,,
728.0,0.03,-0.09,0.14,1845.2,0,1.16,11,True,167,,,,,,,,
847.0,0.03,-0.12,0.17,1959.4,0,1.33,11,True,168,,,,,,,,
892.0,0.04,-0.12,0.16,1946.4,0,2.26,8,False,162,169,170,,,0.2,0.8,,
767.0,0.05,-0.1,0.13,1833.0,0,1.98,9,False,169,,,,,,,,
936.0,0.04,-0.11,0.13,1933.7,0,2.27,9,False,170,171,172,,,0.48,0.52,,
805.0,0.04,-0.09,0.11,1821.1,0,1.99,10,False,171,,,,,,,,
982.0,0.03,-0.11,0.1,1923.3,0,2.23,10,False,172,173,174,,,0.53,0.47,,
844.0,0.04,-0.08,0.08,1811.3,0,1.95,11,False,173,,,,,,,,
982.0,0.03,-0.11,0.1,1923.3,0,2.23,11,True,174,,,,,,,,
889.0,0.03,-0.19,0.19,2008.6,0,1.65,5,False,146,175,176,,,0.7,0.3,,
805.0,0.06,-0.06,0.12,1897.4,0,2.37,6,False,175,177,178,,,0.44,0.56,,
691.0,0.07,-0.04,0.1,1786.9,0,2.07,7,False,177,,,,,,,,
845.0,0.04,-0.08,0.15,1927.7,0,1.62,7,False,178,179,180,,,0.23,0.77,,
726.0,0.04,-0.07,0.12,1815.4,0,1.41,8,False,179,,,,,,,,
887.0,0.03,-0.11,0.13,1947.8,0,1.52,8,False,180,181,182,,,0.7,0.3,,
762.0,0.03,-0.08,0.11,1834.4,0,1.33,9,False,181,,,,,,,,
931.0,0.03,-0.12,0.12,1947.0,0,1.83,9,False,182,183,184,,,0.63,0.37,,
800.0,0.03,-0.09,0.1,1833.6,0,1.6,10,False,183,,,,,,,,
977.0,0.03,-0.12,0.1,1934.3,0,2.12,10,False,184,185,186,,,0.93,0.07,,
839.0,0.03,-0.09,0.09,1821.6,0,1.85,11,False,185,,,,,,,,
977.0,0.03,-0.12,0.1,1934.3,0,2.12,11,True,186,,,,,,,,
935.0,0.05,-0.15,0.17,1948.4,0,3.08,6,False,176,187,188,,,0.95,0.05,,
804.0,0.06,-0.12,0.14,1835.0,0,2.69,7,False,187,,,,,,,,
981.0,0.05,-0.11,0.13,1904.0,0,3.23,7,False,188,189,190,,,0.42,0.58,,
843.0,0.05,-0.09,0.11,1793.1,0,2.82,8,False,189,,,,,,,,
1028.0,0.03,-0.09,0.09,1887.2,0,2.74,8,False,190,191,192,,,0.22,0.78,,
883.0,0.04,-0.07,0.07,1777.3,0,2.39,9,False,191,,,,,,,,
1076.0,0.02,-0.09,0.06,1895.2,0,1.93,9,False,192,193,194,,,0.5,0.5,,
925.0,0.02,-0.07,0.05,1784.9,0,1.69,10,False,193,,,,,,,,
1125.0,0.01,-0.09,0.05,1903.5,0,1.64,10,False,194,195,196,,,0.13,0.87,,
967.0,0.01,-0.07,0.04,1792.6,0,1.44,11,False,195,,,,,,,,
1125.0,0.01,-0.09,0.05,1903.5,0,1.64,11,True,196,,,,,,,,
980.0,-0.01,-0.24,0.08,2102.5,0,-0.42,4,False,144,197,198,,,0.25,0.75,,
887.0,0.04,-0.14,0.16,1955.7,0,2.07,5,False,197,199,200,,,0.59,0.41,,
801.0,0.06,-0.02,0.08,1872.0,0,2.15,6,False,199,201,202,,,0.66,0.34,,
688.0,0.07,-0.02,0.07,1762.9,0,1.88,7,False,201,,,,,,,,
840.0,0.02,-0.07,0.13,1928.3,0,1.06,7,False,202,203,204,,,0.62,0.38,,
722.0,0.03,-0.06,0.11,1816.0,0,0.92,8,False,203,,,,,,,,
881.0,0.02,-0.12,0.13,1965.2,0,0.92,8,False,204,205,206,,,0.57,0.43,,
797.0,0.03,-0.05,0.09,1899.5,0,1.26,9,False,205,207,208,,,0.53,0.47,,
